date,symbol,variant,i,dir,by,conflict,time,window,mode,expiry,cls,fade,lag_bars,onset_age_s,approved,reasons,confirm_delay_s,pnl1,mfe1,mae1,tmae1,spread1,t05_1,t1_1,t2_1,good1,hit1first1,remain1,optcons1,delay_to_entry1,pnl2,mfe2,mae2,tmae2,spread2,t05_2,t1_2,t2_2,good2,hit1first2,remain2,optcons2,delay_to_entry2,dim_A_futures_strength,dim_B_futures_acceleration,dim_C_option_acceleration,dim_D_direction_agreement,dim_E_lead_lag_bars(+ = option first),dim_F_liquidity(-spread),dim_G_earlyness(-onset age s),dim_H_reversal_risk(-retrace),dim_I_time_remaining_s
2026-09-18,NIFTY,CURRENT_12A,29,-1,FUTURES_LAST_TRADE,False,14:57:30,PRE 14:55-15:00,PRE,False,SYNCHRONIZED,False,2,30,False,"['WINDOW', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-0.5408062930186796,4.27728613569321,-6.342182890855459,75.0,0.1969,,,,False,False,0.6744966442953519,0.39802631578947284,35,-0.14792899408284582,4.585798816568039,-6.065088757396455,70.0,0.2469,,,,False,False,0.5067114093959986,0.3552631578947375,40,4.7,0.0,0.8354111389767345,0.0,2,-0.1971,-30,-0.0,1050
2026-09-18,NIFTY,CURRENT_12A,63,-1,FUTURES_LAST_TRADE,False,15:00:20,15:00-15:03,MODE_A,False,UNDERLYING_LEAD,False,-7,55,False,"['NOT_EARLY', 'OPTION_NOT_RESPONDING']",,0.0,3.1614785992217898,-1.118677042801548,10.0,0.146,25,25,50,True,False,0.34560327198356217,0.6358839050131921,60,-0.48402710551790895,2.6621490803484993,-1.5972894482090914,5.0,0.1938,20,25,45,True,False,0.39183673469381813,0.6860158311345651,65,75.0,0.0,-0.08935068797198964,1.0,-7,-0.1462,-55,-0.4500000000007276,880
2026-09-18,NIFTY,CURRENT_12A,75,-1,FUTURES_LAST_TRADE,False,15:01:20,15:00-15:03,MODE_A,False,UNDERLYING_LEAD,False,-3,60,False,"['NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-2.9342167534311487,0.37860861334594553,-4.117368670137254,295.0,0.2369,,,,False,False,0.19157088122606433,0.8474576271186446,65,-0.3885381253035509,3.0111704711024716,-1.6027197668771302,290.0,0.1458,5,20,,True,True,0.23371647509574273,0.2485875706214678,70,68.8,0.0,-1.7213676667053723,1.0,-3,-0.2357,-60,-0.10000000000218279,820
2026-09-18,NIFTY,CURRENT_12A,87,-1,FUTURES_LAST_TRADE,False,15:02:20,15:00-15:03,MODE_A,False,SYNCHRONIZED,True,1,25,False,['NO_DIRECTIONAL_AGREEMENT'],,-0.04833252779120073,2.5132914451425754,-2.078298695021755,235.0,0.1935,10,,,False,False,1.0,0.20833333333333284,30,-2.25636101776285,1.824291886701864,-2.7364378300528167,230.0,0.2885,,,,False,False,0.8921568627445735,0.38888888888888956,35,63.6,0.0,-1.032206500823899,0.0,1,-0.2918,-25,-1.5,760
2026-09-18,NIFTY,CURRENT_12A,174,-1,FUTURES_LAST_TRADE,False,15:09:35,15:09-15:12,MODE_A,False,SYNCHRONIZED,True,-2,60,False,"['NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,0.9455200360198084,2.0261143628995946,-3.6920306168392565,235.0,0.2705,5,5,60,True,True,0.6296296296296297,0.0,65,-0.5775211017325558,0.6663705019991115,-4.9755664149266945,230.0,0.2224,55,,,False,False,0.6148148148150304,0.5638297872340418,70,49.1,49.8,-0.7975630288664528,0.0,-2,-0.2232,-60,-0.9000000000014552,325
2026-09-18,NIFTY,CURRENT_12A,401,1,FUTURES_LAST_TRADE,False,15:28:30,MODE B 15:15-15:30,MODE_B,False,SYNCHRONIZED,True,-1,55,False,"['WINDOW', 'NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-0.7215007215007215,-0.07215007215006805,-4.184704184704172,10.0,0.289,,,,False,False,0.4069767441861154,0.6315789473684226,60,-3.7681159420289774,0.36231884057971014,-3.7681159420289774,5.0,0.2903,,,,False,False,0.5755813953485962,0.0,65,42.4,41.9,-0.0002067311667907079,0.0,-1,-0.2882,-55,-0.0,-810
2026-09-18,SENSEX,CURRENT_12A,36,-1,FUTURES_LAST_TRADE,False,14:58:05,PRE 14:55-15:00,PRE,False,NO_CLEAR_ONSET,False,,0,False,"['WINDOW', 'OPTION_NOT_RESPONDING']",,-1.9535569480280106,2.8750460744563187,-4.607445632141541,40.0,0.1475,,,,False,False,0.7601998334722733,0.15410958904109565,5,-2.936478682884873,2.8750460744563187,-4.607445632141541,35.0,0.2337,,,,False,False,0.7385512073275942,0.14212328767123578,10,45.8,0.0,-0.12350353283798879,0.0,,-0.1731,0,-0.0,1015
2026-09-18,SENSEX,CURRENT_12A,174,-1,FUTURES_LAST_TRADE,False,15:09:35,15:09-15:12,MODE_A,False,SYNCHRONIZED,True,0,50,False,"['NOT_EARLY', 'OPTION_NOT_RESPONDING', 'EXTENDED']",,0.33564814814814553,1.3773148148148122,-2.7777777777777777,220.0,0.2201,25,40,,True,True,0.8983333333328499,0.0,55,-0.12637867647059084,0.6318933823529412,-3.4926470588235268,215.0,0.2531,35,,,False,False,0.5533333333339607,0.31140350877192646,60,97.9,0.0,-0.2937086842647183,0.0,0,-0.2533,-50,-23.04999999998836,325
2026-09-18,SENSEX,CURRENT_12A,186,-1,FUTURES_LAST_TRADE,False,15:10:35,15:09-15:12,MODE_A,False,OPTION_RESPONSE_LAG,False,,55,False,"['NOT_EARLY', 'OPTION_NOT_RESPONDING', 'EXTENDED']",,-1.7319963536918919,-0.19371011850501885,-5.082041932543302,285.0,0.1939,,,,False,False,0.22448979591999824,0.9716312056737605,60,-1.4280818005255342,0.06854792642522824,-4.8326288129784025,280.0,0.08,,,,False,False,0.2393320964752822,0.8439716312056789,65,41.1,56.8,0.366862001124015,1.0,,-0.1941,-55,-0.35000000000582077,265
2026-09-18,SENSEX,CURRENT_12A,324,-1,FUTURES_LAST_TRADE,False,15:22:05,MODE B 15:15-15:30,MODE_B,False,OPTION_RESPONSE_LAG,False,,50,False,"['WINDOW', 'NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-0.23367215796237878,1.6357051057366516,-4.837013669821238,285.0,0.2339,35,55,,True,True,0.7330873308731273,0.22194513715710434,55,-0.0467344315924731,1.6357051057366516,-4.837013669821238,280.0,0.2339,30,50,,True,True,0.773677736777765,0.22194513715710434,60,80.7,0.0,-1.1741735992194267,0.0,,-0.1165,-50,-7.600000000005821,-425
