symbol,date,timestamp,underlying_state,underlying_price,underlying_age,closing_state,combination_state,atm_strike,ce_premium,pe_premium,ce_premium_change,pe_premium_change,ce_volume,pe_volume,ce_intraday_oi_change,pe_intraday_oi_change,ce_iv,pe_iv,ce_delta,pe_delta,ce_gamma,pe_gamma,ce_theta,pe_theta,ce_vega,pe_vega,ce_spread_pct,pe_spread_pct,pcr,atm_straddle,ce_premium_trajectory,pe_premium_trajectory,ce_pressure,pe_pressure,option_directional_pressure,option_pressure_label,position_support,risk_state,implied_spot,implied_spot_gap,implied_quality,data_quality
NIFTY,2026-07-17,15:15,LIVE,24328.75,0,NORMAL_CONTINUOUS,NEITHER_DIRECTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:16,LIVE,24323.95,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:17,LIVE,24322.9,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:18,LIVE,24325.55,0,NORMAL_CONTINUOUS,NEITHER_DIRECTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:19,LIVE,24328.85,0,NORMAL_CONTINUOUS,NEITHER_DIRECTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:20,LIVE,24329.0,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:21,LIVE,24332.95,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:22,LIVE,24333.35,0,NORMAL_CONTINUOUS,NEITHER_DIRECTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:23,LIVE,24337.4,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:24,LIVE,24337.95,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:25,LIVE,24342.8,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:26,LIVE,24345.0,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:27,LIVE,24342.8,0,NORMAL_CONTINUOUS,NEITHER_DIRECTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:28,LIVE,24343.35,0,NORMAL_CONTINUOUS,NEITHER_DIRECTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
NIFTY,2026-07-17,15:29,LIVE,24334.3,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,24350.0,115.05,132.85,,,190041735.0,54988440.0,,,14.258249,16.530132,0.5038,-0.49602,0.00139,0.0012,-26.19212,-23.16478,8.04993,8.0499,0.869187,0.602183,1.074669,247.9,INSUFFICIENT_DATA,INSUFFICIENT_DATA,-0.130435,-0.241379,0.055472,NEUTRAL,,,24314.447352,-19.852648,OK,INSUFFICIENT_HISTORY
NIFTY,2026-07-17,15:30,LIVE,24346.7,0,NORMAL_CONTINUOUS,NEITHER_DIRECTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:15,LIVE,78143.11,0,NORMAL_CONTINUOUS,NEITHER_DIRECTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:16,LIVE,78124.91,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:17,LIVE,78120.31,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:18,LIVE,78138.88,0,NORMAL_CONTINUOUS,NEITHER_DIRECTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:19,LIVE,78136.76,0,NORMAL_CONTINUOUS,NEITHER_DIRECTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:20,LIVE,78147.73,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:21,LIVE,78162.07,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:22,LIVE,78171.37,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:23,LIVE,78175.22,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:24,LIVE,78183.78,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:25,LIVE,78194.72,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:26,LIVE,78214.52,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
SENSEX,2026-07-17,15:27,LIVE,78214.75,0,NORMAL_CONTINUOUS,UNDERLYING_CONFIRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA
