max_adverse_pct,t_max_adverse,max_favourable_pct,t_max_favourable,end_ret_pct,adverse1_before_fav1,symbol,date,cohort,option_type,minute,action
-31.490787269681743,1,269.17922948073704,12,215.13121161362366,True,SENSEX,2026-07-30,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
-99.11591355599214,17,0.0,1,-99.11591355599214,True,SENSEX,2026-07-30,11D_SHAPED_1500_1519,PE,15:01,PREPARE_EXIT
-16.676217765042978,1,230.3151862464184,12,184.8137535816619,True,SENSEX,2026-07-30,CLOSING_1515_1529,CE,15:15,BREAK_EXIT
-96.84210526315789,13,75.78947368421056,1,-96.84210526315789,False,SENSEX,2026-07-30,CLOSING_1515_1529,PE,15:15,PREPARE_EXIT
-6.084489281210614,12,3.4047919293820783,4,-4.476670870113509,False,NIFTY,2026-07-31,11D_SHAPED_1500_1519,CE,15:04,BREAK_EXIT
-9.364717792963805,8,0.0,16,-0.9364717792963884,True,NIFTY,2026-07-31,11D_SHAPED_1500_1519,PE,15:00,PREPARE_EXIT
-15.804327375352766,14,0.0,3,-15.804327375352766,True,NIFTY,2026-07-31,CLOSING_1515_1529,CE,15:15,PREPARE_EXIT
-1.5801948907031904,6,5.188306557808797,11,5.188306557808797,False,NIFTY,2026-07-31,CLOSING_1515_1529,PE,15:18,PREPARE_EXIT
-2.2702702702702804,11,2.8620199146514924,2,-1.5021337126600365,False,SENSEX,2026-07-31,11D_SHAPED_1500_1519,CE,15:06,BREAK_EXIT
-8.02294030587074,8,0.09866798223976403,19,0.09866798223976403,True,SENSEX,2026-07-31,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-7.760444209413009,13,1.8707033315705779,8,-7.760444209413009,False,SENSEX,2026-07-31,CLOSING_1515_1529,CE,15:16,BREAK_EXIT
-3.034000776526724,3,2.318486882245274,8,2.318486882245274,True,SENSEX,2026-07-31,CLOSING_1515_1529,PE,15:21,PREPARE_EXIT
-14.256304683479149,8,0.6176016469377155,2,-11.888831703551217,True,NIFTY,2026-08-03,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
-6.785243741765489,8,1.2845849802371356,2,-1.449275362318836,False,NIFTY,2026-08-03,11D_SHAPED_1500_1519,PE,15:09,PREPARE_EXIT
-13.011283497884351,11,0.8462623413258097,2,-6.699576868829338,True,NIFTY,2026-08-03,CLOSING_1515_1529,CE,15:15,BREAK_EXIT
-8.65639936271907,12,7.010090281465731,9,-8.65639936271907,False,NIFTY,2026-08-03,CLOSING_1515_1529,PE,15:17,BREAK_EXIT
-13.125877398221785,9,0.5069411948214197,2,-8.766183122757731,True,SENSEX,2026-08-03,11D_SHAPED_1500_1519,CE,15:00,PREPARE_EXIT
0.0,5,2.838499184339316,4,1.3115823817291927,False,SENSEX,2026-08-03,11D_SHAPED_1500_1519,PE,15:12,BREAK_EXIT
-6.513661202185794,11,0.20400728597451678,3,-5.435336976320581,True,SENSEX,2026-08-03,CLOSING_1515_1529,CE,15:15,PREPARE_EXIT
-7.538289129622722,12,1.0833022039596463,2,-7.538289129622722,False,SENSEX,2026-08-03,CLOSING_1515_1529,PE,15:17,BREAK_EXIT
-7.06860706860708,4,41.37214137214136,15,-0.8316008316008205,False,NIFTY,2026-08-04,11D_SHAPED_1500_1519,CE,15:00,PREPARE_EXIT
-3.2818532818532864,19,27.70270270270272,5,-3.2818532818532864,False,NIFTY,2026-08-04,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-18.181818181818155,2,161.00628930817615,12,161.00628930817615,True,NIFTY,2026-08-04,CLOSING_1515_1529,CE,15:17,BREAK_EXIT
-98.82697947214076,14,4.203323558162264,3,-98.82697947214076,False,NIFTY,2026-08-04,CLOSING_1515_1529,PE,15:15,PREPARE_EXIT
-4.244673983214986,4,10.740800516462246,14,6.584893479664311,True,SENSEX,2026-08-04,11D_SHAPED_1500_1519,CE,15:01,BREAK_EXIT
-12.158519705689507,15,13.455234209951183,5,-6.825963429737014,False,SENSEX,2026-08-04,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-5.319069349891537,10,0.0,3,-3.0074062990947836,True,SENSEX,2026-08-04,CLOSING_1515_1529,CE,15:17,BREAK_EXIT
0.0,14,8.334715541549166,6,0.07463924365564978,False,SENSEX,2026-08-04,CLOSING_1515_1529,PE,15:15,BREAK_EXIT
-0.3861600247142216,1,14.890330552981146,15,7.92400370713624,False,NIFTY,2026-08-05,11D_SHAPED_1500_1519,CE,15:00,PREPARE_EXIT
-26.434878587196476,12,0.0,2,-17.089771891096394,True,NIFTY,2026-08-05,11D_SHAPED_1500_1519,PE,15:03,BREAK_EXIT
-2.5036818851251863,10,3.97643593519883,5,-0.31559015358721965,False,NIFTY,2026-08-05,CLOSING_1515_1529,CE,15:16,BREAK_EXIT
0.0,6,15.593336767988998,11,8.68967885969434,False,NIFTY,2026-08-05,CLOSING_1515_1529,PE,15:15,BREAK_EXIT
-2.0912816165041592,1,30.7828175780698,15,12.180302388017505,True,SENSEX,2026-08-05,11D_SHAPED_1500_1519,CE,15:00,PREPARE_EXIT
-43.09213329924145,13,1.431858859626689,3,-21.08582630188357,True,SENSEX,2026-08-05,11D_SHAPED_1500_1519,PE,15:02,PREPARE_EXIT
-12.879914984059514,10,13.61317747077575,1,-3.8788522848034024,False,SENSEX,2026-08-05,CLOSING_1515_1529,CE,15:16,BREAK_EXIT
0.0,12,37.35555183386368,1,22.073354546977075,False,SENSEX,2026-08-05,CLOSING_1515_1529,PE,15:15,BREAK_EXIT
-0.30601092896174187,3,6.229508196721301,15,6.142076502732241,False,NIFTY,2026-08-06,11D_SHAPED_1500_1519,CE,15:03,PREPARE_EXIT
-9.700144508670528,17,2.998554913294793,6,-7.550578034682099,True,NIFTY,2026-08-06,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-0.6775354647469811,6,2.9853906415413967,4,-0.14821088291340212,False,NIFTY,2026-08-06,CLOSING_1515_1529,CE,15:20,PREPARE_EXIT
-6.192531431788328,2,1.5387502345656001,5,-3.978232313754926,True,NIFTY,2026-08-06,CLOSING_1515_1529,PE,15:15,PREPARE_EXIT
-11.661576744712143,3,56.64517588508089,18,53.342382083474725,False,SENSEX,2026-08-06,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
-39.20850128252108,17,19.079027726884078,2,-33.88298522047148,False,SENSEX,2026-08-06,11D_SHAPED_1500_1519,PE,15:01,BREAK_EXIT
-64.64128843338214,9,57.66576030119219,4,-64.64128843338214,True,SENSEX,2026-08-06,CLOSING_1515_1529,CE,15:20,BREAK_EXIT
-87.51971608832808,14,0.0,1,-87.51971608832808,True,SENSEX,2026-08-06,CLOSING_1515_1529,PE,15:15,PREPARE_EXIT
0.0,13,9.461358313817314,10,1.1943793911006972,False,NIFTY,2026-08-07,11D_SHAPED_1500_1519,CE,15:06,PREPARE_EXIT
-16.59118979003703,16,0.0,1,-10.107039934129268,True,NIFTY,2026-08-07,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-7.870572802798426,12,0.0,1,-7.870572802798426,True,NIFTY,2026-08-07,CLOSING_1515_1529,CE,15:17,PREPARE_EXIT
-0.5400098183603208,1,7.191948944526261,4,4.860088365243032,False,NIFTY,2026-08-07,CLOSING_1515_1529,PE,15:15,BREAK_EXIT
0.0,1,9.786405828925048,10,7.4608244335762075,False,SENSEX,2026-08-07,11D_SHAPED_1500_1519,CE,15:06,PREPARE_EXIT
-17.993287582026753,15,0.0,1,-13.995892400941734,True,SENSEX,2026-08-07,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-6.307920741385475,12,0.09216117966310833,3,-6.307920741385475,True,SENSEX,2026-08-07,CLOSING_1515_1529,CE,15:17,PREPARE_EXIT
0.0,1,7.077462858395922,6,5.1696727153116795,False,SENSEX,2026-08-07,CLOSING_1515_1529,PE,15:15,BREAK_EXIT
-3.797054009819978,2,7.659574468085095,15,3.5351882160392867,True,NIFTY,2026-08-10,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
-0.6673691605198595,12,9.905163329820855,9,2.3182297154900056,False,NIFTY,2026-08-10,11D_SHAPED_1500_1519,PE,15:03,BREAK_EXIT
-1.3747954173486066,10,3.8625204582651174,2,-0.2618657937806912,False,NIFTY,2026-08-10,CLOSING_1515_1529,CE,15:16,BREAK_EXIT
-3.323903818953311,12,4.738330975954774,1,-1.8033946251767907,False,NIFTY,2026-08-10,CLOSING_1515_1529,PE,15:15,BREAK_EXIT
-1.553109193692348,1,8.759297828027357,14,6.688485569770908,True,SENSEX,2026-08-10,11D_SHAPED_1500_1519,CE,15:01,PREPARE_EXIT
-2.8348397699260564,12,5.032867707477395,8,-0.8353875650506937,False,SENSEX,2026-08-10,11D_SHAPED_1500_1519,PE,15:03,BREAK_EXIT
-1.0411311053984407,10,2.037275064267363,1,0.3470437017994987,False,SENSEX,2026-08-10,CLOSING_1515_1529,CE,15:16,BREAK_EXIT
0.0,9,3.376105643453342,1,2.1178522486607676,False,SENSEX,2026-08-10,CLOSING_1515_1529,PE,15:15,BREAK_EXIT
