stale_start,frozen_value,frozen_minute,print_value,print_known_at,print_source,print_move,official_close,close_minus_print,symbol,date,expiry_day,pre_stale_momentum
15:16,24573.35,15:15,24774.3,15:30,FIRST_CHANGED_1MIN_CANDLE,200.95000000000073,24774.3,0.0,NIFTY,2026-08-03,False,-19.55000000000291
15:16,78677.13,15:15,78639.03,15:29,FIRST_CHANGED_1MIN_CANDLE,-38.10000000000582,78639.03,0.0,SENSEX,2026-08-03,False,-73.94000000000233
15:16,24463.45,15:15,24614.9,15:29,FIRST_CHANGED_1MIN_CANDLE,151.45000000000073,24614.9,0.0,NIFTY,2026-08-04,True,-7.549999999999272
15:16,78324.56,15:15,78428.95,15:30,FIRST_CHANGED_1MIN_CANDLE,104.38999999999942,78428.95,0.0,SENSEX,2026-08-04,False,-8.059999999997672
15:16,24570.2,15:15,24624.65,15:29,FIRST_CHANGED_1MIN_CANDLE,54.45000000000073,24624.65,0.0,NIFTY,2026-08-05,False,45.5
15:16,78501.85,15:15,78581.0,15:30,FIRST_CHANGED_1MIN_CANDLE,79.14999999999418,78581.0,0.0,SENSEX,2026-08-05,False,130.72000000000116
15:16,24627.95,15:15,24636.0,15:29,FIRST_CHANGED_1MIN_CANDLE,8.049999999999272,24636.0,0.0,NIFTY,2026-08-06,False,-4.149999999997817
15:16,78785.62,15:15,78954.76,15:30,FIRST_CHANGED_1MIN_CANDLE,169.13999999999942,78954.76,0.0,SENSEX,2026-08-06,True,0.9400000000023283
15:16,24557.0,15:15,24570.65,15:30,FIRST_CHANGED_1MIN_CANDLE,13.650000000001455,24570.65,0.0,NIFTY,2026-08-07,False,12.900000000001455
15:16,78491.26,15:15,78499.17,15:30,FIRST_CHANGED_1MIN_CANDLE,7.9100000000034925,78499.17,0.0,SENSEX,2026-08-07,False,56.15999999998894
15:16,24560.15,15:15,24583.8,15:30,FIRST_CHANGED_1MIN_CANDLE,23.649999999997817,24583.8,0.0,NIFTY,2026-08-10,False,-3.5499999999992724
15:16,78478.66,15:15,78542.44,15:29,FIRST_CHANGED_1MIN_CANDLE,63.779999999998836,78542.44,0.0,SENSEX,2026-08-10,False,7.070000000006985
15:16,24450.25,15:15,24471.7,15:30,FIRST_CHANGED_1MIN_CANDLE,21.450000000000728,24471.7,0.0,NIFTY,2026-08-11,True,-17.0
15:16,78148.22,15:15,78154.25,15:29,FIRST_CHANGED_1MIN_CANDLE,6.029999999998836,78154.25,0.0,SENSEX,2026-08-11,False,-39.10000000000582
15:16,24361.7,15:15,24435.95,15:29,FIRST_CHANGED_1MIN_CANDLE,74.25,24435.95,0.0,NIFTY,2026-08-12,False,-8.799999999999272
15:16,77889.97,15:15,77966.35,15:30,FIRST_CHANGED_1MIN_CANDLE,76.38000000000466,77966.35,0.0,SENSEX,2026-08-12,False,1.7299999999959255
15:16,24353.35,15:15,24395.85,15:30,FIRST_CHANGED_1MIN_CANDLE,42.5,24395.85,0.0,NIFTY,2026-08-13,False,12.099999999998545
15:16,77861.48,15:15,78079.96,15:30,FIRST_CHANGED_1MIN_CANDLE,218.48000000001048,78079.96,0.0,SENSEX,2026-08-13,True,67.33999999999651
15:16,24354.85,15:15,24366.0,15:29,FIRST_CHANGED_1MIN_CANDLE,11.150000000001455,24366.0,0.0,NIFTY,2026-08-14,False,-19.75
15:16,77931.1,15:15,78009.25,15:30,FIRST_CHANGED_1MIN_CANDLE,78.14999999999418,78009.25,0.0,SENSEX,2026-08-14,False,-10.139999999999418
15:16,24339.8,15:15,24287.65,15:29,FIRST_CHANGED_1MIN_CANDLE,-52.14999999999782,24287.65,0.0,NIFTY,2026-08-17,False,3.7999999999992724
15:16,77844.43,15:15,77728.16,15:29,FIRST_CHANGED_1MIN_CANDLE,-116.26999999998952,77728.16,0.0,SENSEX,2026-08-17,False,11.579999999987194
15:16,24048.55,15:15,24078.3,15:30,FIRST_CHANGED_1MIN_CANDLE,29.75,24078.3,0.0,NIFTY,2026-08-19,False,-4.350000000002183
15:16,76908.05,15:15,76909.68,15:30,FIRST_CHANGED_1MIN_CANDLE,1.6299999999901047,76909.68,0.0,SENSEX,2026-08-19,False,-13.589999999996508
15:16,24211.6,15:15,24231.85,15:30,FIRST_CHANGED_1MIN_CANDLE,20.25,24231.85,0.0,NIFTY,2026-08-20,False,-23.650000000001455
15:16,77485.29,15:15,77537.72,15:30,FIRST_CHANGED_1MIN_CANDLE,52.43000000000757,77537.72,0.0,SENSEX,2026-08-20,True,-87.61000000000058
15:16,24234.75,15:15,24252.0,15:30,FIRST_CHANGED_1MIN_CANDLE,17.25,24252.0,0.0,NIFTY,2026-08-21,False,-2.9500000000007276
15:16,77522.47,15:15,77540.83,15:30,FIRST_CHANGED_1MIN_CANDLE,18.360000000000582,77540.83,0.0,SENSEX,2026-08-21,False,-9.85000000000582
15:16,24260.05,15:15,24334.55,15:29,FIRST_CHANGED_1MIN_CANDLE,74.5,24334.55,0.0,NIFTY,2026-08-25,True,16.700000000000728
15:16,77529.94,15:15,77656.09,15:30,FIRST_CHANGED_1MIN_CANDLE,126.14999999999418,77656.09,0.0,SENSEX,2026-08-25,False,-2.5500000000029104
15:16,24133.05,15:15,24090.85,15:29,FIRST_CHANGED_1MIN_CANDLE,-42.20000000000073,24090.85,0.0,NIFTY,2026-08-27,False,-22.5
15:16,77182.91,15:15,76933.59,15:30,FIRST_CHANGED_1MIN_CANDLE,-249.32000000000698,76933.59,0.0,SENSEX,2026-08-27,True,-58.2899999999936
15:16,24142.45,15:15,24175.65,15:30,FIRST_CHANGED_1MIN_CANDLE,33.20000000000073,24175.65,0.0,NIFTY,2026-08-28,False,20.75
15:16,77194.59,15:15,77264.51,15:29,FIRST_CHANGED_1MIN_CANDLE,69.91999999999825,77264.51,0.0,SENSEX,2026-08-28,False,53.220000000001164
15:16,24050.25,15:15,24080.4,15:30,FIRST_CHANGED_1MIN_CANDLE,30.150000000001455,24080.4,0.0,NIFTY,2026-08-31,False,-9.25
15:16,76924.93,15:15,76957.27,15:29,FIRST_CHANGED_1MIN_CANDLE,32.34000000001106,76957.27,0.0,SENSEX,2026-08-31,False,-45.61000000000058
15:16,23980.55,15:15,24055.8,15:30,FIRST_CHANGED_1MIN_CANDLE,75.25,24055.8,0.0,NIFTY,2026-09-01,True,-0.10000000000218279
15:16,76725.18,15:15,76944.28,15:29,FIRST_CHANGED_1MIN_CANDLE,219.10000000000582,76944.28,0.0,SENSEX,2026-09-01,False,-10.75
15:16,23882.85,15:15,23914.45,15:30,FIRST_CHANGED_1MIN_CANDLE,31.600000000002183,23914.45,0.0,NIFTY,2026-09-02,False,12.44999999999709
15:16,76469.92,15:15,76570.35,15:29,FIRST_CHANGED_1MIN_CANDLE,100.43000000000757,76570.35,0.0,SENSEX,2026-09-02,False,54.770000000004075
15:16,23904.1,15:15,23873.45,15:29,FIRST_CHANGED_1MIN_CANDLE,-30.649999999997817,23873.45,0.0,NIFTY,2026-09-03,False,8.349999999998545
15:16,76554.2,15:15,76152.86,15:29,FIRST_CHANGED_1MIN_CANDLE,-401.3399999999965,76152.86,0.0,SENSEX,2026-09-03,True,22.830000000001746
15:16,23937.9,15:15,23897.7,15:29,FIRST_CHANGED_1MIN_CANDLE,-40.20000000000073,23897.7,0.0,NIFTY,2026-09-04,False,-0.6499999999978172
15:16,76645.88,15:15,76515.43,15:30,FIRST_CHANGED_1MIN_CANDLE,-130.45000000001164,76515.43,0.0,SENSEX,2026-09-04,False,-5.889999999999418
15:16,23760.3,15:15,23779.15,15:30,FIRST_CHANGED_1MIN_CANDLE,18.850000000002183,23779.15,0.0,NIFTY,2026-09-07,False,14.649999999997817
15:16,76051.42,15:15,76132.81,15:29,FIRST_CHANGED_1MIN_CANDLE,81.38999999999942,76132.81,0.0,SENSEX,2026-09-07,False,63.36000000000058
15:16,23640.05,15:15,23635.1,15:30,FIRST_CHANGED_1MIN_CANDLE,-4.950000000000728,23635.1,0.0,NIFTY,2026-09-08,True,-1.7999999999992724
15:16,75594.73,15:15,75577.58,15:29,FIRST_CHANGED_1MIN_CANDLE,-17.14999999999418,75577.58,0.0,SENSEX,2026-09-08,False,3.6499999999941792
15:16,23462.45,15:15,23431.5,15:29,FIRST_CHANGED_1MIN_CANDLE,-30.950000000000728,23431.5,0.0,NIFTY,2026-09-09,False,-22.299999999999272
15:16,74895.36,15:15,74764.23,15:29,FIRST_CHANGED_1MIN_CANDLE,-131.13000000000466,74764.23,0.0,SENSEX,2026-09-09,False,-50.5
15:16,23389.25,15:15,23477.8,15:30,FIRST_CHANGED_1MIN_CANDLE,88.54999999999927,23477.8,0.0,NIFTY,2026-09-10,False,-10.349999999998545
15:16,74629.5,15:15,74902.59,15:30,FIRST_CHANGED_1MIN_CANDLE,273.0899999999965,74902.59,0.0,SENSEX,2026-09-10,True,-44.270000000004075
15:16,23435.1,15:15,23398.1,15:30,FIRST_CHANGED_1MIN_CANDLE,-37.0,23398.1,0.0,NIFTY,2026-09-11,False,18.049999999999272
15:16,74914.06,15:15,74781.76,15:29,FIRST_CHANGED_1MIN_CANDLE,-132.3000000000029,74781.76,0.0,SENSEX,2026-09-11,False,98.47000000000116
15:16,23172.35,15:15,23118.6,15:30,FIRST_CHANGED_1MIN_CANDLE,-53.75,23118.6,0.0,NIFTY,2026-09-15,True,-1.1500000000014552
15:16,74171.82,15:15,74003.82,15:30,FIRST_CHANGED_1MIN_CANDLE,-168.0,74003.82,0.0,SENSEX,2026-09-15,False,12.650000000008731
15:16,23224.15,15:15,23217.6,15:30,FIRST_CHANGED_1MIN_CANDLE,-6.55000000000291,23217.6,0.0,NIFTY,2026-09-16,False,-1.3999999999978172
15:16,74303.16,15:15,74336.45,15:30,FIRST_CHANGED_1MIN_CANDLE,33.2899999999936,74336.45,0.0,SENSEX,2026-09-16,False,-20.419999999998254
15:16,23294.35,15:15,23270.6,15:29,FIRST_CHANGED_1MIN_CANDLE,-23.75,23270.6,0.0,NIFTY,2026-09-17,False,14.25
15:16,74414.23,15:15,74314.59,15:29,FIRST_CHANGED_1MIN_CANDLE,-99.63999999999942,74314.59,0.0,SENSEX,2026-09-17,True,27.55999999999767
15:16,23341.85,15:15,23346.4,15:29,FIRST_CHANGED_1MIN_CANDLE,4.55000000000291,,,NIFTY,2026-09-18,False,-32.95000000000073
15:16,74559.97,15:15,74294.96,15:30,FIRST_CHANGED_1MIN_CANDLE,-265.00999999999476,,,SENSEX,2026-09-18,False,-134.13000000000466
