date,time,symbol,direction,event_type,strength,mode,expiry_day,option,passed_gates,reasons,categories,cf_active_exit_pct,cf_exit_reason,mfe_pct,mae_pct,fut_mfe_after_det,fut_mae_after_det,timing,status,option_response_pct
2026-09-17,15:19:55,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_B,False,CE 23300,False,MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING;NO_CONFIRMATION,expiry/time;confirmation,0.25,EVENT_INVALIDATED,1.628,-3.255,0.0,-15.0,DETECTED_EARLY,MISSED PROFITABLE OPPORTUNITY,-0.513
2026-09-17,15:23:50,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_B,False,CE 23300,False,MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,expiry/time;confirmation,0.042,EVENT_INVALIDATED,1.813,-2.108,10.7,-8.5,DETECTED_EARLY,MISSED PROFITABLE OPPORTUNITY,-0.55
2026-09-17,15:24:50,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_B,False,CE 23300,False,MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM,expiry/time;confirmation,-0.417,FUTURES_DIVERGENCE,0.626,-3.545,7.4,-12.1,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),1.257
2026-09-17,15:26:45,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,MODE_B,False,PE 23250,False,MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM,expiry/time;confirmation,-1.932,EVENT_INVALIDATED,1.932,-1.932,5.9,-13.6,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),1.539
2026-09-17,15:27:20,NIFTY,UP,MOMENTUM_EVENT,STRONG,MODE_B,False,CE 23250,False,MODE_B_RESEARCH_ONLY;OPTION_NOT_RESPONDING,expiry/time;confirmation,-0.672,EVENT_INVALIDATED,-0.369,-2.821,0.0,-19.5,NO_FOLLOW_THROUGH,GENUINELY BAD SIGNAL (would have lost),0.796
2026-09-17,15:01:35,SENSEX,UP,MOMENTUM_EVENT,WEAK,MODE_A,True,CE 74500,False,WEAK_MOMENTUM,confirmation,-9.851,STOP_LOSS,-3.27,-24.627,0.0,-21.35,NO_FOLLOW_THROUGH,GENUINELY BAD SIGNAL (would have lost),5.876
2026-09-17,15:16:30,SENSEX,UP,MOMENTUM_EVENT,WEAK,MODE_B,True,CE 74500,False,EXPIRY_DAY_CLOSE_VETO;MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM,expiry/time;confirmation,-2.238,EXPIRY_ZONE_EXIT,7.16,-56.225,20.0,-20.05,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),9.722
2026-09-17,15:18:35,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,MODE_B,True,PE 74400,False,EXPIRY_DAY_CLOSE_VETO;MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,expiry/time;confirmation,1.143,EXPIRY_ZONE_EXIT,4.128,-64.873,4.45,-35.6,DETECTED_LATE,PROFITABLE BUT LATE,-2.524
2026-09-17,15:22:20,SENSEX,UP,MOMENTUM_EVENT,WEAK,MODE_B,True,CE 74400,False,EXPIRY_DAY_CLOSE_VETO;MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,expiry/time;confirmation,-13.164,EXPIRY_ZONE_EXIT,80.716,-62.587,0.0,-45.75,NO_FOLLOW_THROUGH,GENUINELY BAD SIGNAL (would have lost),-23.738
2026-09-17,15:24:15,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,MODE_B,True,PE 74400,False,EXPIRY_DAY_CLOSE_VETO;MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,expiry/time;confirmation,-12.693,EXPIRY_ZONE_EXIT,76.574,-91.95,0.0,-45.75,NO_FOLLOW_THROUGH,GENUINELY BAD SIGNAL (would have lost),-15.259
