date,time,symbol,direction,event_type,strength,mode,window,expiry_day,passed_gates,reasons,first_gate,all_gates,traded_lots,traded_units,category,timing,cf_pnl,cf_exit_reason,mfe,mae,t_mfe,spread,detect_after_start_s,remaining_at_entry,fut_r30,fut_accel,displacement,ce_ret30,pe_ret30,ce_acc,pe_acc,sel_spread,sel_volume30,sel_oi_change30,option_response,response_latency_s,risk_blocked
2026-09-17,14:55:35,NIFTY,UP,MOMENTUM_EVENT,WEAK,PRE,PRE 14:55-15:00,False,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.17086715079026302,EVENT_INVALIDATED,-0.17086715079026302,-7.2191371208885124,5.0,0.2138,35.0,0.5913978494621805,9.30000000000291,8.5,9.30000000000291,-1.4474244359301855,1.377702416278084,0.20768931553398873,0.313462547202602,0.1728,249405.0,0.0,-1.4474244359301855,,False
2026-09-17,14:56:50,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,PRE,PRE 14:55-15:00,False,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM,WINDOW,WINDOW;CONFIRMATION,False,False,GENUINELY_BAD_SIGNAL,DETECTED_LATE,-0.34877927254608304,TIME_EXIT,4.434479322371702,-2.4912805181863478,200.0,0.0498,35.0,0.43902439024390244,-10.5,2.3000000000029104,-10.5,-0.3051438535309577,0.9730848861283621,-2.8998419884545106,2.5186013592112992,0.2978,186680.0,-7800.0,1.6649848637739713,25,False
2026-09-17,14:59:10,NIFTY,UP,MOMENTUM_EVENT,WEAK,PRE,PRE 14:55-15:00,False,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.26821636119803055,UNDERLYING_INVALIDATION,3.665623603039793,-2.9056772463120253,230.0,0.2238,35.0,0.9857142857142337,9.0,7.0,9.0,-0.11032656663724626,-0.02035002035001341,-0.4188326063787227,0.5093982547563334,0.3093,177970.0,-41795.0,-0.11032656663724626,5,False
2026-09-17,15:00:55,NIFTY,UP,MOMENTUM_EVENT,STRONG,MODE_A,15:00-15:03,False,True,RISK_TOO_LARGE,RISK,RISK,False,True,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-1.2291483757682227,EVENT_INVALIDATED,1.7998244073748875,-2.0632133450395154,125.0,0.1318,35.0,0.7727272727272727,13.400000000001455,5.400000000001455,13.400000000001455,4.105839416058394,-4.086490775639758,0.1412294452881231,-1.347254664237665,0.2629,369655.0,7345.0,4.105839416058394,5,True
2026-09-17,15:01:35,SENSEX,UP,MOMENTUM_EVENT,WEAK,MODE_A,15:00-15:03,True,False,WEAK_MOMENTUM,CONFIRMATION,CONFIRMATION,False,False,NO_FOLLOW_THROUGH,NO_FOLLOW_THROUGH,-9.850993377483437,STOP_LOSS,-3.2698675496688763,-24.62748344370861,5.0,0.2072,35.0,0.0,32.35000000000582,32.35000000000582,32.35000000000582,5.178967374089333,-6.9542397900607,-0.7450453014310798,3.782534363891478,0.2086,655380.0,0.0,5.875855975259559,5,False
2026-09-17,15:02:35,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_A,15:00-15:03,False,False,WEAK_MOMENTUM,CONFIRMATION,CONFIRMATION,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.6090808416389781,FUTURES_DIVERGENCE,2.048726467331128,-3.2115171650055276,265.0,0.2772,35.0,0.6604477611940749,8.899999999997817,4.899999999997817,8.899999999997817,1.3759431868619592,-1.3718263718263697,0.9295351498661143,-1.0869393635438358,0.2786,66040.0,0.0,2.1633931113008726,10,False
2026-09-17,15:05:15,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_A,15:03-15:06,False,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING;NO_CONFIRMATION,CONFIRMATION,CONFIRMATION;OPTION_RESPONSE,False,False,PROFITABLE_OPPORTUNITY,DETECTED_EARLY,0.07005253940454943,EVENT_INVALIDATED,2.3817863397548202,-0.8406304728546331,105.0,0.1753,35.0,0.8826530612245183,12.5,6.30000000000291,12.5,-0.17559262510974788,-0.7963118189438414,3.7220291716414007,-4.231588661286278,0.2458,87165.0,0.0,0.3701092703560139,35,False
2026-09-17,15:05:20,NIFTY,UP,MOMENTUM_EVENT,STRONG,MODE_A,15:03-15:06,False,True,RISK_TOO_LARGE,RISK,RISK,False,True,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.8732099196646874,FUTURES_DIVERGENCE,2.165560600768421,-1.117708697170796,300.0,0.2098,35.0,0.7487437185929832,12.900000000001455,12.900000000001455,12.900000000001455,0.9034817100043996,-1.8781302170283807,3.9369362174547886,-3.56612441523514,0.2086,96980.0,0.0,2.003901400957629,30,True
2026-09-17,15:07:10,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_A,15:06-15:09,False,False,WEAK_MOMENTUM,CONFIRMATION,CONFIRMATION,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.543773790103317,FUTURES_DIVERGENCE,0.7612833061446469,-3.371397498640575,195.0,0.2177,35.0,0.6642335766421943,8.700000000000728,6.700000000000728,8.700000000000728,1.9326818675352828,-2.4083315252766253,0.9266448760647688,-0.9021815552032446,0.1085,143325.0,-37050.0,2.2739877981142507,25,False
2026-09-17,15:07:45,NIFTY,UP,CONTINUATION_EVENT,STRONG,MODE_A,15:06-15:09,False,True,RISK_TOO_LARGE,RISK,RISK,False,True,PROFITABLE_OPPORTUNITY,DETECTED_EARLY,0.34828036569438897,EVENT_INVALIDATED,2.82977797126687,-1.0883761427949499,290.0,0.2616,185.0,0.5357142857143254,5.0,5.0,19.599999999998545,-0.2564650566360309,1.661865721249723,0.08534193670831262,-0.07330901512014454,0.1286,208650.0,-37830.0,2.4363476733977096,,True
2026-09-17,15:08:45,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,MODE_A,15:06-15:09,False,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING;NO_CONFIRMATION,CONFIRMATION,CONFIRMATION;OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.17346053772766942,FUTURES_DIVERGENCE,4.163052905464005,-3.0789245446660862,190.0,0.2171,35.0,0.8055555555555766,-9.599999999998545,6.0,-9.599999999998545,0.5007620291748337,-0.06501950585174568,0.5880881966785965,-0.15166522804907162,0.2169,168675.0,-30095.0,-0.06501950585174568,5,False
2026-09-17,15:09:45,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_A,15:09-15:12,False,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING,CONFIRMATION,CONFIRMATION;OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_LATE,-0.259403372243849,UNDERLYING_INVALIDATION,7.133592736705577,-1.037613488975359,285.0,0.1731,35.0,0.3622047244093135,9.600000000002183,-5.799999999999272,9.600000000002183,-1.2614924096643099,1.8336607727570349,2.2538047068014873,-2.78328866175616,0.2599,139295.0,0.0,-1.2614924096643099,,False
2026-09-17,15:10:50,NIFTY,UP,MOMENTUM_EVENT,STRONG,MODE_A,15:09-15:12,False,False,OPTION_NOT_RESPONDING,OPTION_RESPONSE,OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,0.0,UNDERLYING_INVALIDATION,6.16966580976864,-1.9280205655526992,220.0,0.0857,35.0,0.9840425531915274,13.399999999997817,8.999999999996362,13.399999999997817,0.644468313641246,0.21385799828913601,-1.6270908488602303,2.2365000579343315,0.1281,244790.0,-73710.0,0.644468313641246,10,False
2026-09-17,15:12:10,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,MODE_A,15:12-15:15,False,False,WEAK_MOMENTUM;NO_CONFIRMATION,CONFIRMATION,CONFIRMATION,False,False,NO_FOLLOW_THROUGH,NO_FOLLOW_THROUGH,-2.0557491289198526,MOMENTUM_FAILURE,-1.289198606271773,-10.487804878048788,5.0,0.2093,35.0,0.0,-12.700000000000728,12.700000000000728,-12.700000000000728,-0.8607703894986012,0.6549757025142543,1.2501810042127666,-1.2857726247664114,0.277,70135.0,-25545.0,1.1558669001751354,10,False
2026-09-17,15:13:25,NIFTY,UP,MOMENTUM_EVENT,STRONG,MODE_A,15:12-15:15,False,True,RISK_TOO_LARGE,RISK,RISK,False,True,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.706273369339422,EVENT_INVALIDATED,2.949729954299968,-1.2463647694225177,65.0,0.2079,35.0,0.7134831460674858,12.799999999999272,11.200000000000728,12.799999999999272,2.3591923485653608,-3.4304207119741053,2.1442608599515856,-1.9405281178181086,0.2492,294775.0,0.0,2.3591923485653608,25,True
