date,symbol,time,i,dir,family,mode,window,expiry,approved,reasons,approved_v1,reasons_v1,anat_onset_to_det_s,anat_pre_fut,anat_fut_mfe_after,anat_fut_consumed,anat_pre_opt,anat_opt_mfe_after,anat_opt_consumed,anat_det_to_entry_opt,anat_t_fut_peak_after_det,anat_resp_f_before_det,anat_resp_o_before_det,anat_resp_lag_bars,anat_acc_both_before,anat_cls,anat_fade,anat_fade_ratio,sim5_entry_ask,sim5_spread_in,sim5_spread_out,sim5_pnl,sim5_reason,sim5_hold,sim5_peak,sim5_mfe,sim5_mae,sim5_t_mfe,sim5_t_mae,sim5_capture,sim5_plan_ask
2026-09-17,NIFTY,14:56:25,16,1,C_OPTION_LEADS,PRE,PRE 14:55-15:00,False,False,"['WINDOW', 'NO_DIRECTIONAL_AGREEMENT']",False,"['WINDOW', 'NO_DIRECTIONAL_AGREEMENT']",0,0.0,0.0,,1.3531209079004778,0.0861326442721865,0.940154641868236,0.0861326442721865,,False,False,,False,FALSE_OPTION_MOVE,False,0.0,116.35,0.2582,0.2601,-0.9883970777825454,EVENT_INVALIDATED,10.0,0.0,-0.9883970777825454,-6.660936828534594,5.0,225.0,,116.25
2026-09-17,NIFTY,14:56:55,22,-1,A_EARLY_MOMENTUM,PRE,PRE 14:55-15:00,False,False,"['WINDOW', 'NOT_EARLY']",False,"['WINDOW', 'NOT_EARLY']",50,8.900000000001455,8.299999999999272,0.517441860465179,2.7032690695725137,3.733931850642717,0.41994480257455263,-1.2038359518465689,215,True,True,-7,True,OPTION_LEAD,False,0.45736434108527274,121.2,0.2478,0.0819,0.7425742574257355,MOMENTUM_FADE,75.0,2.3514851485148465,4.744224422442244,-1.8151815181518174,195.0,285.0,0.1565217391304333,122.65
2026-09-17,NIFTY,14:56:55,22,-1,E_BOTH_CONFIRM,PRE,PRE 14:55-15:00,False,False,"['WINDOW', 'NOT_EARLY']",False,"['WINDOW', 'NOT_EARLY']",50,8.900000000001455,8.299999999999272,0.517441860465179,2.7032690695725137,3.733931850642717,0.41994480257455263,-1.2038359518465689,215,True,True,-7,True,OPTION_LEAD,False,0.45736434108527274,121.2,0.2478,0.0819,0.7425742574257355,MOMENTUM_FADE,75.0,2.3514851485148465,4.744224422442244,-1.8151815181518174,195.0,285.0,0.1565217391304333,122.65
2026-09-17,NIFTY,14:57:00,23,-1,G_CONTINUATION,PRE,PRE 14:55-15:00,False,False,"['WINDOW', 'NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",False,"['WINDOW', 'NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",55,10.200000000000728,7.0,0.5930232558139708,2.074601844090535,4.372818723054805,0.32177237741590137,-0.12317799219873182,210,True,True,-7,True,OPTION_LEAD,False,0.2790697674418615,121.8,0.2878,0.285,0.6978653530377739,TIME_EXIT,120.0,1.8472906403940887,4.228243021346474,-2.2988505747126418,190.0,280.0,0.1650485436893219,121.8
2026-09-17,NIFTY,14:58:20,39,1,C_OPTION_LEADS,PRE,PRE 14:55-15:00,False,False,"['WINDOW', 'NOT_EARLY']",False,['WINDOW'],45,5.049999999999272,3.7000000000007276,0.577142857142774,1.4241210502892823,1.8867924528301814,0.4301293431397436,-0.6143045195261104,290,True,False,6,False,UNDERLYING_LEAD,False,0.43749999999999944,113.4,0.2649,0.0881,0.04409171075837492,UNDERLYING_INVALIDATION,20.0,0.8818342151675485,2.248677248677246,-4.232804232804242,280.0,110.0,0.01960784313725381,114.0
2026-09-17,NIFTY,14:58:50,45,-1,B_ACCELERATION,PRE,PRE 14:55-15:00,False,False,"['WINDOW', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",False,"['WINDOW', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",10,4.80000000000291,5.19999999999709,0.480000000000291,0.9270704573547591,3.7762808736476834,0.19710848544184115,-0.6327822004490643,100,False,False,0,False,SYNCHRONIZED,True,0.7021276595744637,121.85,0.2465,0.1627,0.7796471070988945,UNDERLYING_INVALIDATION,5.0,0.7796471070988945,4.185473943373006,-4.718916700861715,80.0,250.0,0.18627450980392185,122.6
2026-09-17,NIFTY,14:59:05,48,-1,D_UNDERLYING_LEADS,PRE,PRE 14:55-15:00,False,False,"['WINDOW', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",False,"['WINDOW', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",25,2.0,8.0,0.2,1.2772970745776773,3.417412530512602,0.2720715831268364,0.2441008950366128,85,True,True,0,True,SYNCHRONIZED,False,0.0,123.25,0.0812,0.2442,-0.44624746450304026,FUTURES_DIVERGENCE,30.0,0.9330628803245483,3.002028397565925,-5.8012170385395585,65.0,235.0,-0.14864864864864777,123.0
2026-09-17,NIFTY,15:00:40,67,1,B_ACCELERATION,MODE_A,15:00-15:03,False,True,[],True,[],10,5.30000000000291,11.249999999996362,0.32024169184309026,2.7822487928259423,3.892617449664425,0.41682465112407946,2.1029082774049166,290,False,True,-3,False,OPTION_LEAD,False,0.0,114.2,0.1753,0.2196,-0.43782837127845886,MOMENTUM_FAILURE,30.0,0.0,1.532399299474606,-2.320490367775837,140.0,250.0,-0.2857142857142857,111.9
2026-09-17,NIFTY,15:00:45,68,1,D_UNDERLYING_LEADS,MODE_A,15:00-15:03,False,True,[],True,[],15,3.5500000000029104,12.999999999996362,0.2145015105742034,3.702000459875839,2.971175166297112,0.5547584339540194,1.1973392461197288,285,True,True,-3,True,OPTION_LEAD,False,0.0,114.25,0.2629,0.3063,-0.13129102844639445,MOMENTUM_FAILURE,30.0,0.0,1.4879649890590834,-2.3632385120350134,135.0,245.0,-0.08823529411765024,112.9
2026-09-17,NIFTY,15:00:50,69,1,A_EARLY_MOMENTUM,MODE_A,15:00-15:03,False,True,[],False,['NOT_EARLY'],20,7.950000000000728,8.599999999998545,0.4803625377644155,4.943665210393195,1.7528483786152498,0.7382446320287697,-0.32865907099035935,280,True,True,-3,True,OPTION_LEAD,False,0.06976744186046512,113.85,0.2198,0.1737,1.0540184453227956,TIME_EXIT,120.0,1.3175230566534917,1.8445322793148957,-2.020202020202018,130.0,240.0,0.5714285714285704,114.2
